 index  label                                           nativelabel                      colour     type                 hemisphere  lobe
#----------------------------------------------------------------------------------------------------------------------------------------------------
     0  unknown                                         Unknown                          "#000000"  other                NA          NA
     2  cerebral_white_matter_left                      Left-Cerebral-White-Matter       "#F5F5F5"  white_matter         left        NA
     3  cerebral_cortex_left                            Left-Cerebral-Cortex             "#CD3E4E"  cerebral_cortex      left        NA
     4  lateral_ventricle_left                          Left-Lateral-Ventricle           "#781286"  cerebrospinal_fluid  left        NA
     5  inferior_lateral_ventricle_left                 Left-Inf-Lat-Vent                "#C43AFA"  cerebrospinal_fluid  left        NA
     7  cerebellar_white_matter_left                    Left-Cerebellum-White-Matter     "#DCF8A4"  white_matter         left        NA
     8  cerebellar_cortex_left                          Left-Cerebellum-Cortex           "#E69422"  cerebellar_cortex    left        NA
    10  thalamus_left                                   Left-Thalamus-Proper             "#00760E"  deep_grey_matter     left        NA
    11  caudate_left                                    Left-Caudate                     "#7ABADC"  deep_grey_matter     left        NA
    12  putamen_left                                    Left-Putamen                     "#EC0DB0"  deep_grey_matter     left        NA
    13  pallidum_left                                   Left-Pallidum                    "#0C30FF"  deep_grey_matter     left        NA
    14  3rd_ventricle                                   3rd-Ventricle                    "#CCB68E"  cerebrospinal_fluid  NA          NA
    15  4th_ventricle                                   4th-Ventricle                    "#2ACCA4"  cerebrospinal_fluid  NA          NA
    16  brainstem                                       Brain-Stem                       "#779FB0"  other                NA          NA
    17  hippocampus_left                                Left-Hippocampus                 "#DCD814"  deep_grey_matter     left        NA
    18  amygdala_left                                   Left-Amygdala                    "#67FFFF"  deep_grey_matter     left        NA
    24  cerebrospinal_fluid                             CSF                              "#3C3C3C"  cerebrospinal_fluid  NA          NA
    26  accumbens_left                                  Left-Accumbens-area              "#FFA500"  deep_grey_matter     left        NA
    28  NA                                              Left-VentralDC                   "#A52A2A"  other                left        NA
    30  NA                                              Left-vessel                      "#A020F0"  other                left        NA
    31  choroid_plexus_left                             Left-choroid-plexus              "#00C8C8"  other                left        NA
    41  cerebral_white_matter_right                     Right-Cerebral-White-Matter      "#00E100"  white_matter         right       NA
    42  cerebral_cortex_right                           Right-Cerebral-Cortex            "#CD3E4E"  cerebral_cortex      right       NA
    43  lateral_ventricle_right                         Right-Lateral-Ventricle          "#781286"  cerebrospinal_fluid  right       NA
    44  inferior_lateral_ventricle_right                Right-Inf-Lat-Vent               "#C43AFA"  cerebrospinal_fluid  right       NA
    46  cerebellar_white_matter_right                   Right-Cerebellum-White-Matter    "#DCF8A4"  white_matter         right       NA
    47  cerebellar_cortex_right                         Right-Cerebellum-Cortex          "#E69422"  cerebellar_cortex    right       NA
    49  thalamus_right                                  Right-Thalamus-Proper            "#00760E"  deep_grey_matter     right       NA
    50  caudate_right                                   Right-Caudate                    "#7ABADC"  deep_grey_matter     right       NA
    51  putamen_right                                   Right-Putamen                    "#EC0DB0"  deep_grey_matter     right       NA
    52  pallidum_right                                  Right-Pallidum                   "#0D30FF"  deep_grey_matter     right       NA
    53  hippocampus_right                               Right-Hippocampus                "#DCD814"  deep_grey_matter     right       NA
    54  amygdala_right                                  Right-Amygdala                   "#67FFFF"  deep_grey_matter     right       NA
    58  accumbens_right                                 Right-Accumbens-area             "#FFA500"  deep_grey_matter     right       NA
    60  NA                                              Right-VentralDC                  "#A52A2A"  other                right       NA
    62  NA                                              Right-vessel                     "#A020F0"  other                right       NA
    63  choroid_plexus_right                            Right-choroid-plexus             "#00C8DD"  other                right       NA
    72  5th_ventricle                                   5th-Ventricle                    "#78BE96"  cerebrospinal_fluid  NA          NA
    77  NA                                              WM-hypointensities               "#C846FF"  other                NA          NA
    78  NA                                              Left-WM-hypointensities          "#FF940A"  other                NA          NA
    79  NA                                              Right-WM-hypointensities         "#FF940A"  other                NA          NA
    80  NA                                              non-WM-hypointensities           "#A46CE2"  other                NA          NA
    81  NA                                              Left-non-WM-hypointensities      "#A46CE2"  other                NA          NA
    82  NA                                              Right-non-WM-hypointensities     "#A46CE2"  other                NA          NA
    85  optic_chiasm                                    Optic-Chiasm                     "#EAA91E"  other                NA          NA
   251  corpus_callosum_posterior                       CC_Posterior                     "#000040"  white_matter         NA          NA
   252  corpus_callosum_mid-posterior                   CC_Mid_Posterior                 "#000070"  white_matter         NA          NA
   253  corpus_callosum_central                         CC_Central                       "#0000A0"  white_matter         NA          NA
   254  corpus_callosum_mid-anterior                    CC_Mid_Anterior                  "#0000D0"  white_matter         NA          NA
   255  corpus_callosum_anterior                        CC_Anterior                      "#0000FF"  white_matter         NA          NA
 11101  frontomarginal_gyrus_left                       ctx_lh_G_and_S_frontomargin      "#17DC3C"  cerebral_cortex      left        frontal
 11102  inferior_occipital_gyrus_left                   ctx_lh_G_and_S_occipital_inf     "#173CB4"  cerebral_cortex      left        occipital
 11103  paracentral_gyrus_left                          ctx_lh_G_and_S_paracentral       "#3F643C"  cerebral_cortex      left        frontal,parietal
 11104  subcentral_gyrus_left                           ctx_lh_G_and_S_subcentral        "#3F14DC"  cerebral_cortex      left        frontal,parietal
