group   element   type  description
0x0000  0x0000    'UL'  "Group 0000 Length"
0x0000  0x0001    'UL'  "Group 0000 Length to End (RET)"
0x0000  0x0002    'UI'  "Affected SOP Class UID"
0x0000  0x0003    'UI'  "Requested SOP Class UID"
0x0000  0x0010    'SH'  "Recognition Code (RET)"
0x0000  0x0100    'US'  "Command Field"
0x0000  0x0110    'US'  "Message ID"
0x0000  0x0120    'US'  "Message Id being Responded to"
0x0000  0x0200    'AE'  "Initiator (RET)"
0x0000  0x0300    'AE'  "Receiver (RET)"
0x0000  0x0400    'AE'  "Find Location (RET)"
0x0000  0x0600    'AE'  "Move Destination"
0x0000  0x0700    'US'  "Priority"
0x0000  0x0800    'US'  "Data Set Type"
0x0000  0x0850    'US'  "Number of Matches (RET)"
0x0000  0x0860    'US'  "Response Sequence Number (RET)"
0x0000  0x0900    'US'  "Status"
0x0000  0x0901    'AT'  "Offending Element"
0x0000  0x0902    'LO'  "Error Comment"
0x0000  0x0903    'US'  "Error ID"
0x0000  0x1000    'UI'  "Affected SOP Instance UID"
0x0000  0x1001    'UI'  "Requested SOP Instance UID"
0x0000  0x1002    'US'  "Event Type ID"
0x0000  0x1005    'AT'  "Attribute Identifier List"
0x0000  0x1008    'US'  "Action Type ID"
0x0000  0x1012    'UI'  "Requested SOP Instance UID List"
0x0000  0x1020    'US'  "Number of Remaining Sub-operations"
0x0000  0x1021    'US'  "Number of Completed Sub-operations"
0x0000  0x1022    'US'  "Number of Failed Sub-operations"
0x0000  0x1023    'US'  "Number of Warning Sub-operations"
0x0000  0x1030    'AE'  "Move Originator Application Entity Title"
0x0000  0x1031    'US'  "Move Originator Message ID"
0x0000  0x5010    'LO'  "Message Set ID (RET)"
0x0000  0x5020    'LO'  "End Message Set ID (RET)"
0x0002  0x0000    'UL'  "Group 0002 Length"
0x0002  0x0001    'OB'  "File Meta Information Version"
0x0002  0x0002    'UI'  "Media Stored SOP Class UID"
0x0002  0x0003    'UI'  "Media Stored SOP Instance UID"
0x0002  0x0010    'UI'  "Transfer Syntax UID"
0x0002  0x0012    'UI'  "Implementation Class UID"
0x0002  0x0013    'SH'  "Implementation Version Name"
0x0002  0x0016    'AE'  "Source Application Entity Title"
0x0002  0x0100    'UI'  "Private Information Creator UID"
0x0002  0x0102    'OB'  "Private Information"
0x0004  0x0000    'UL'  "Group 0004 Length"
0x0004  0x1130    'CS'  "File-set ID"
0x0004  0x1141    'CS'  "File-set Descriptor File File ID"
0x0004  0x1142    'CS'  "File-set Descriptor File Format"
0x0004  0x1200    'UL'  "Root Directory Entity's First Directory Record Offset"
0x0004  0x1202    'UL'  "Root Directory Entity's Last Directory Record Offset"
0x0004  0x1212    'US'  "File-set Consistence Flag"
0x0004  0x1220    'SQ'  "Directory Record Sequence"
0x0004  0x1400    'UL'  "Next Directory Record Offset"
0x0004  0x1410    'US'  "Record In-use Flag"
0x0004  0x1420    'UL'  "Referenced Lower-level Directory Entity Offset"
0x0004  0x1430    'CS'  "Directory Record Type"
0x0004  0x1432    'UI'  "Private Record UID"
0x0004  0x1500    'CS'  "Referenced File ID"
0x0004  0x1510    'UI'  "Referenced SOP Class UID in File"
0x0004  0x1511    'UI'  "Referenced SOP Instance UID in File"
0x0004  0x1600    'UL'  "Number of References"
0x0008  0x0000    'UL'  "Group 0008 Length"
0x0008  0x0001    'UL'  "Group 0008 Length to End (RET)"
0x0008  0x0005    'CS'  "Specific Character Set"
0x0008  0x0008    'CS'  "Image Type"
0x0008  0x0010    'SH'  "Recognition Code (RET)"
0x0008  0x0012    'DA'  "Instance Creation Date"
0x0008  0x0013    'TM'  "Instance Creation Time"
0x0008  0x0014    'UI'  "Instance Creator UID"
0x0008  0x0016    'UI'  "SOP Class UID"
0x0008  0x0018    'UI'  "SOP Instance UID"
0x0008  0x0020    'DA'  "Study Date"
0x0008  0x0021    'DA'  "Series Date"
0x0008  0x0022    'DA'  "Acquisition Date"
0x0008  0x0023    'DA'  "Image Date"
0x0008  0x0024    'DA'  "Overlay Date"
0x0008  0x0025    'DA'  "Curve Date"
0x0008  0x0030    'TM'  "Study Time"
0x0008  0x0031    'TM'  "Series Time"
0x0008  0x0032    'TM'  "Acquisition Time"
0x0008  0x0033    'TM'  "Image Time"
0x0008  0x0034    'TM'  "Overlay Time"
0x0008  0x0035    'TM'  "Curve Time"
0x0008  0x0040    'US'  "Data Set Type (RET)"
0x0008  0x0041    'SH'  "Data Set Subtype (RET)"
0x0008  0x0042    'CS'  "Nuclear Medicine Series Type"
0x0008  0x0050    'SH'  "Accession Number"
0x0008  0x0052    'CS'  "Query/Retrieve Level"
0x0008  0x0054    'AE'  "Retrieve AE Title"
0x0008  0x0058    'AE'  "Failed SOP Instance UID List"
0x0008  0x0060    'CS'  "Modality"
0x0008  0x0064    'CS'  "Conversion Type"
0x0008  0x0070    'LO'  "Manufacturer"
0x0008  0x0080    'LO'  "Institution Name"
0x0008  0x0081    'ST'  "Institution Address"
0x0008  0x0082    'SQ'  "Institution Code Sequence"
0x0008  0x0090    'PN'  "Referring Physician's Name"
0x0008  0x0092    'ST'  "Referring Physician's Address"
0x0008  0x0094    'SH'  "Referring Physician's Telephone Numbers"
0x0008  0x0100    'SH'  "Code Value"
0x0008  0x0102    'SH'  "Coding Scheme Designator"
0x0008  0x0104    'LO'  "Code Meaning"
0x0008  0x1000    'SH'  "Network ID (RET)"
0x0008  0x1010    'SH'  "Station Name"
0x0008  0x1030    'LO'  "Study Description"
0x0008  0x1032    'SQ'  "Procedure Code Sequence"
0x0008  0x103E    'LO'  "Series Description"
0x0008  0x1040    'LO'  "Institutional Department Name"
0x0008  0x1050    'PN'  "Attending Physician's Name"
0x0008  0x1060    'PN'  "Name of Physician(s) Reading Study"
0x0008  0x1070    'PN'  "Operator's Name"
0x0008  0x1080    'LO'  "Admitting Diagnoses Description"
0x0008  0x1084    'SQ'  "Admitting Diagnosis Code Sequence"
0x0008  0x1090    'LO'  "Manufacturer's Model Name"
0x0008  0x1100    'SQ'  "Referenced Results Sequence"
0x0008  0x1110    'SQ'  "Referenced Study Sequence"
0x0008  0x1111    'SQ'  "Referenced Study Component Sequence"
0x0008  0x1115    'SQ'  "Referenced Series Sequence"
0x0008  0x1120    'SQ'  "Referenced Patient Sequence"
0x0008  0x1125    'SQ'  "Referenced Visit Sequence"
0x0008  0x1130    'SQ'  "Referenced Overlay Sequence"
0x0008  0x1140    'SQ'  "Referenced Image Sequence"
0x0008  0x1145    'SQ'  "Referenced Curve Sequence"
0x0008  0x1150    'UI'  "Referenced SOP Class UID"
0x0008  0x1155    'UI'  "Referenced SOP Instance UID"
0x0008  0x2111    'ST'  "Derivation Description"
0x0008  0x2112    'SQ'  "Source Image Sequence"
0x0008  0x2120    'SH'  "Stage Name"
0x0008  0x2122    'IS'  "Stage Number"
0x0008  0x2124    'IS'  "Number of Stages"
0x0008  0x2129    'IS'  "Number of Event Timers"
0x0008  0x2128    'IS'  "View Number"
0x0008  0x212A    'IS'  "Number of Views in Stage"
0x0008  0x2130    'DS'  "Event Elapsed Time(s)"
0x0008  0x2132    'LO'  "Event Timer Name(s)"
0x0008  0x2142    'IS'  "Start Trim"
0x0008  0x2143    'IS'  "Stop Trim"
